Title,Author,Original Publication Year,Publisher,Read?
Means without End: Notes on Politics,Giorgio Agamben,2000,University of Minnesota Press,FALSE
Quantum: A Guide for the Perplexed,Jim Al-Khalili,2003,Weidenfeld & Nicolson,FALSE
Elements of a Haunting: Connecting History with Science to Uncover the Greatest Ghost Stories Ever Told,"Brandon Alvis, Mustafa Gatollari",2022,Llewellyn Publications,FALSE
"The Zapatista Experience: Rebellion, Resistance, and Autonomy",Jérôme Baschet,2024,AK Press,FALSE
Illuminations: Essays and Reflections,Walter Benjamin,1968,Schocken Books,TRUE
The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,Vincent Bevins,2020,PublicAffairs,TRUE
The Oxford Dictionary of Philosophy,Blackburn,,,FALSE
The Great Acting Teachers and Their Methods,Richard Brestoff,1995,Smith and Kraus,FALSE
Critical Theory: A Very Short Introduction,Stephen Eric Bronner,2017,Oxford University Press,TRUE
"How We Learn: The Surprising Truth About When, Where, and Why It Happens",Benedict Carey,2014,Random House,TRUE
Black Power: The Politics of Liberation,"Stokely Carmichael, Charles V. Hamilton",1967,,FALSE
Hegemony or Survival: America’s Quest for Global Dominance,Noam Chomsky,2003,Metropolitan Books,TRUE
Notes on Resistance,Noam Chomsky,2022,Haymarket Books,FALSE
On Anarchism,Noam Chomsky,2014,Penguin,FALSE
¡No Pasarán!: Matt Christman's Spanish Civil War,Matt Christman,2024,Large Sons Productions LLC,FALSE
Remarks on art and philosophy,Arthur C. Danto,2014,,FALSE
"Whitewalling: Art, Race & Protest in 3 Acts",Aruna D'Souza,2018,Badlands Unlimited,FALSE
Cultural Resistance Reader,Stephen Duncombe,2002,Verso Books,FALSE
Do penguins have knees? : an imponderables book,David Feldman,2004,Collins,FALSE
Anne Frank: The Diary of a Young Girl,Anne Frank,1993,Bantam,FALSE
The Return of the Real: The Avant-Garde at the End of the Century,Hal Foster,1996,The MIT Press,FALSE
Reading of Proust,Wallace Fowlie,1967,Peter Smith Pub Inc,FALSE
These United States: A Nation in the Making: 1890 to the Present,"Glenda Elizabeth Gilmore, Thomas J Sugrue",2015,W. W. Norton & Company,TRUE
Anarchism and Other Essays,Emma Goldman,2025,AK Press,FALSE
"No Good Men Among the Living: America, the Taliban, and the War through Afghan Eyes",Anand Gopal,2014,Metropolitan Books,FALSE
"101 Myths of the Bible:
How Ancient Scribes Invented Biblical History",Gary Greenberg,2002,Sourcebooks,FALSE
A Brief History of Time: From the Big Bang to Black Holes,Stephen W. Hawking,1988,Bantam Dell Publishing Group,TRUE
The Tao of Pooh,Benjamin Hoff,1982,Dutton Books,FALSE
White Women: Everything You Already Know About Your Own Racism and How to Do Better,"Regina Jackson, Saira Rao",2022,Penguin Random House,FALSE
Usual Cruelty: The Complicity of Lawyers in the Criminal Injustice System ,Alec Karakatsanis,2019,The New Press,TRUE
Overthrow: America's Century of Regime Change from Hawaii to Iraq,Stephen Kinzer,2006,Times Books,TRUE
The Secret World of American Communism,"Harvey Klehr, John Earl Haynes, Fridrikh Igorevich Firsov",1995,Yale University Press,FALSE
The Shock Doctrine,Naomi Klein,2007,Knopf Canada,TRUE
No Logo,Naomi Klein,1999,Knopf Canada,FALSE
The Right to Be Lazy,Paul Lafargue,1883,,FALSE
The State and Revolution,Vladimir Lenin,1917,,TRUE
Capital. A Critique of Political Economy. Volume I: The Process of Production of Capital,Karl Marx,1867,,FALSE
"Power, Politics, & People: The Collected Essays of C. Wright Mills",C. Wright Mills,1963,Oxford University Press,FALSE
"1,000 Books to Read Before You Die: A Life-Changing List",James Mustich ,2018,Workman Publishing Company,FALSE
Understanding the Brain (Vol. 1-3),Jeanette Norden,2007,The Teaching Company,FALSE
In the Devil’s Snare: The Salem Witchcraft Crisis of 1692,Mary Beth Norton,2002,Vintage,FALSE
"30-Second Theories: The 50 Most Thought-Provoking Theories in Science, Each Explained in Half a Minute",Paul Parsons,2009,Metro Books,FALSE
"You Are Awesome: How to Navigate Change, Wrestle with Failure, and Live an Intentional Life",Neil Pasricha,2019,Gallery Books,FALSE
"Dismantling the Master's Clock: On Race, Space, and Time",Rasheedah Phillips,2025,AK Press,FALSE
Capital in the Twenty-First Century,Thomas Piketty,2013,Harvard University Press,FALSE
The Two Faces of American Freedom,"Aziz Rana
",2010,Harvard University Press,FALSE
The Future of the Image,Jacques Rancière,2019,Verso Books,FALSE
Capitalism: The Unknown Ideal,Ayn Ran,1966,New American Library,FALSE
StrengthsFinder 2.0,Tom Rath,2007,Gallup Press,TRUE
Rojava in Focus: Critical Dialogues,"Cihad Hammy, Thomas Jeffrey Miley",2025,AK Press,FALSE
The Story of Physics,Anne Rooney,2011,Arcturus Publishing Limited,FALSE
The Four Agreements,Don Miguel Ruiz,1997,,FALSE
The ABCs of Capitalism,Vivek Chibber,2018,Jacobin,TRUE
Culture and Imperialism,Edward Said,1993,Chatto & Windus,FALSE
Blackwater: The Rise of the World's Most Powerful Mercenary Army,Jeremy Scahill,2007,Nation Books,FALSE
Dirty Wars: The World Is A Battlefield,Jeremy Scahill,2013,Nation Books,FALSE
"30-Second Mythology: The 50 Most Important Greek and Roman Myths, Monsters, Heroes and Gods, Each Explained in Half a Minute",Robert A. Segal,2012,Metro Books,FALSE
Gen Z @ work : how the next generation is transforming the workplace,David Stillman,2017,Harper Business,FALSE
The Art of War,Sun Tzu,5th Century,,FALSE
The Outpost: An Untold Story of American Valor,Jake Tapper,2013,Back Bay Books,FALSE
The Deaths of Others: The Fate of Civilians in America's Wars,John Tirman,2011,Oxford University Press,TRUE
A Southern Panther: Conversations with Malik Rahim,"James R. Tracy, Malik Rahim",2025,AK Press,FALSE
To Rob a Bank Is an Honor,Lucio Urtubia,1981,AK Press,FALSE
The Greek Myths: Stories of the Greek Gods and Heroes Vividly Retold,Robin Waterfield,2011,Quercus Publishing,FALSE
The Cold War: A World History,Odd Arne Westad,2017,Allen Lane,TRUE
Constructing Worlds Otherwise: Societies in Movement and Anticolonial Paths in Latin America,Raúl Zibechi,2024,AK Press,FALSE
A People's History of the United States,Howard Zinn,1980,HarperCollins,TRUE
The Ecology of Freedom: The Emergence and Dissolution of Hierarchy,Murray Bookchin,1982,AK Press,TRUE
If I Must Die: Poetry and Prose,Refaat Alareer,2024,OR Books,TRUE
